Approved Symbol	Previous Symbols	Synonyms	Chromosome	Ensembl Gene ID	UCSC ID(supplied by UCSC)
RYR2	ARVD2	ARVC2, VTSIP	1q43	ENSG00000198626	uc001hyl.1
RYR3			15q13.3	ENSG00000198838	uc001zhi.3
S1PR1	EDG1	edg-1, D1S3362, CD363	1p21	ENSG00000170989	uc001dud.2
S1PR2	EDG5	Gpcr13, H218, AGR16	19q13	ENSG00000267534	uc002mnl.2
S1PR3	EDG3	EDG-3	9q22.1-q22.2	ENSG00000213694	uc004aqe.4
S1PR4	EDG6		19p13.3		uc002lxg.3
S1PR5	EDG8	Edg-8	19p13.2		uc002mou.2
S7		SA7-2	7		
S11			Xq26-q28		
S12			X		
S100A1	S100A	S100-alpha	1q21	ENSG00000160678	uc001fck.1
S100A2	S100L	CAN19	1q21	ENSG00000196754	uc001fcb.3
S100A3	S100E		1q21	ENSG00000188015	uc001fca.1
S100A4	MTS1, CAPL	P9KA, 18A2, PEL98, 42A, FSP1	1q12-q22	ENSG00000196154	uc001fbz.3
S100A5	S100D		1q21	ENSG00000196420	uc001fbx.3
S100A6	CACY	2A9, PRA, CABP	1q21	ENSG00000197956	uc001fbw.1
S100A7	PSOR1	S100A7c	1q21	ENSG00000143556	uc001fbv.1
S100A7A	S100A15, S100A7L1	S100A7f	1q22	ENSG00000184330	uc001fbt.1
S100A7L2		s100a7b	1q21.3	ENSG00000197364	uc010pdx.2
S100A7P1	S100A7L3	s100a7d	1q22		
S100A7P2	S100A7L4	s100a7e	1q21.1		
S100A8	CAGA, CFAG	P8, MRP8, 60B8AG, CGLA	1q12-q22	ENSG00000143546	uc001fbs.3
S100A9	CAGB, CFAG	P14, MIF, NIF, LIAG, MRP14, MAC387, 60B8AG, CGLB	1q21	ENSG00000163220	uc001fbq.3
S100A10	ANX2LG, CAL1L	P11, 42C, CLP11	1q21	ENSG00000197747	uc001ezl.3
S100A11		S100C	1q21	ENSG00000163191	uc001ezn.3
S100A11P1	S100A14, S100A11P		7q22-q31.1	ENSG00000237632	
S100A11P2			7p14.2	ENSG00000236592	
S100A11P3			11q13.4		
S100A11P4			12q14.2		
S100A12		p6, MRP6, CGRP, CAAF1, CAGC, ENRAGE	1q21	ENSG00000163221	uc001fbr.1
S100A13			1q21	ENSG00000189171	uc001fch.3
S100A14		S100A15, BCMP84	1q21.1	ENSG00000189334	uc001fce.3
S100A16		S100F, DT1P1A7, MGC17528	1q21	ENSG00000188643	uc001fcd.1
S100B		S100beta	21q22.3	ENSG00000160307	uc002zju.1
S100G	CALB3	CABP9K, CABP1	Xp22.2	ENSG00000169906	uc004cxn.1
S100P			4p16	ENSG00000163993	uc003gjl.3
S100PBP		FLJ12903, S100PBPR	1p35.1	ENSG00000116497	uc001bwc.4
S100Z		Gm625, S100-zeta	5q13.3	ENSG00000171643	uc003keq.4
SAA1	SAA	PIG4, TP53I4	11p15.1	ENSG00000173432	uc031xha.1
SAA2			11p15.1-p14	ENSG00000134339	
SAA2-SAA4			11p15.1	ENSG00000255071	uc021qel.1
SAA3P	SAA3		11p15.1	ENSG00000166787	uc001mnt.3
SAA4		C-SAA, CSAA	11p15.1-p14	ENSG00000148965	
SAA@		SAA	11p		
SAAL1		FLJ41463	11p15.1	ENSG00000166788	uc001mnq.3
SAC3D1		HSU79266, SHD1	11q13.1	ENSG00000168061	uc001ocm.3
SACM1L		SAC1, KIAA0851	3p21.3	ENSG00000211456	uc003cos.2
SACS		ARSACS, KIAA0730, DKFZp686B15167, DNAJC29, SPAX6, PPP1R138	13q11	ENSG00000151835	uc001uon.3
SACS-AS1			13q12.12	ENSG00000229558	uc001uor.2
SAE1		AOS1, FLJ3091, Sua1	19q13.32		uc002pgc.3
SAFB		HET, SAFB1	19p13.3-p13.2		uc002mcg.3
SAFB2		KIAA0138	19p13.3		uc002mcd.3
SAG		ARRESTIN, RP47	2q37.1	ENSG00000130561	uc002vuh.2
SAGE1		SAGE, CT14	Xq26	ENSG00000181433	uc004ezh.3
SAGE2P			Xq26.3	ENSG00000198022	
SAGE3P			Xq26.3	ENSG00000277486	
SAGE4P			Xq26.3	ENSG00000224539	
SAI1			1p		
SALL1	TBS	Hsal1, ZNF794	16q12.1	ENSG00000103449	uc032dzr.1
SALL1P1	SALL1P		Xp11.23	ENSG00000227391	
SALL2		KIAA0360, Hsal2, ZNF795	14q11.1-q12.1	ENSG00000165821	uc032asw.1
SALL3		ZNF796	18q23	ENSG00000256463	uc002lmt.3
SALL4		dJ1112F19.1, ZNF797	20q13.2	ENSG00000101115	uc002xwh.4
SALL4P1			5q11.2	ENSG00000250308	
SALL4P2			Xq26.1	ENSG00000238040	
SALL4P3			16p12.3		
SALL4P4			13q34		
SALL4P5			3p24.3	ENSG00000231915	
SALL4P6			3p22.1	ENSG00000231280	
SALL4P7			14q23.1	ENSG00000258692	
SALRNA1		SAL-RNA1, XLOC_023166	14q23.1		
SALRNA2		SAL-RNA2, XLOC_025931	15q23		
SALRNA3		SAL-RNA3, XLOC_025918	15q23		
SAMD1			19p13.13	ENSG00000141858	uc010xnl.2
SAMD3		bA73O6.2, FLJ34032	6q23.1	ENSG00000164483	uc031spp.1
SAMD4A	SAMD4	KIAA1053, DKFZP434H0350, Smaug, SMG, SMGA, hSmaug1	14q22.2	ENSG00000020577	uc001xbb.4
SAMD4B		FLJ10211, MGC99832, SMGB, hSmaug2	19q13.2		uc002olb.3
SAMD5		dJ875H10.1	6q24.3	ENSG00000203727	uc003qmc.2
SAMD7		DKFZp686E1583	3q26.31	ENSG00000187033	uc003fgd.3
SAMD8		FLJ25082, SMSr	10q22.3	ENSG00000156671	uc001jwx.2
SAMD9	C7orf5	KIAA2004, FLJ20073	7q21.2	ENSG00000205413	uc003umg.3
SAMD9L	C7orf6	KIAA2005, FLJ39885	7q21.2	ENSG00000177409	uc003umh.1
SAMD10	C20orf136		20q13.33	ENSG00000130590	uc002yhm.2
SAMD11		MGC45873	1p36.33	ENSG00000187634	uc001abw.1
SAMD11P1			17p13.3	ENSG00000262480	
SAMD12		FLJ39458	8q24.12	ENSG00000177570	uc003yom.2
SAMD12-AS1	C8orf26, NCRNA00252		8q24.12		uc022bae.1
SAMD13			1p31.1	ENSG00000203943	uc001djr.3
SAMD14		FLJ36890	17q21.33		uc002iqg.4
SAMD15	FAM15A, C14orf174	FLJ35963	14q24.3	ENSG00000100583	uc001xtq.1
SAMHD1		SBBI88, Mg11, HDDC1, MOP-5, AGS5	20q11.23	ENSG00000101347	uc002xgh.2
SAMM50		CGI-51, TRG-3, YNL026W, OMP85, TOB55, SAM50	22q13.31	ENSG00000100347	uc003bej.3
SAMM50P1			9p22.2	ENSG00000224488	
SAMSN1		NASH1, SASH2, SH3D6B, HACS1, SLy2	21q11	ENSG00000155307	uc002yjv.1
SAMSN1-AS1			21q11.2	ENSG00000223662	uc031ruw.1
SAP18		SAP18p, 2HOR0202, MGC27131	13q12.11	ENSG00000150459	uc001uns.3
SAP18P1			5q13.3	ENSG00000249777	
SAP18P2			2q31.3	ENSG00000223873	
SAP18P3			3p24.3	ENSG00000230697	
SAP25		FLJ00248	7q22.1	ENSG00000205307	uc022aip.1
SAP30			4q34.1	ENSG00000164105	uc003itd.3
SAP30BP		HCNGP, HTRG, HTRP	17q25.1		uc002jpe.3
SAP30L		FLJ11526, NS4ATP2	5q33.2	ENSG00000164576	uc003lvk.3
SAP30L-AS1		FLJ38109, GALNT10-AS1	5q33.2	ENSG00000245275	
SAP130		FLJ12761	2q14.3	ENSG00000136715	uc010fmd.2
SAPCD1	C6orf26	NG23	6p21	ENSG00000228727	
SAPCD1-AS1	C6orf26-AS1		6p21.33	ENSG00000235663	
SAPCD2	C9orf140	p42.3	9q34.3	ENSG00000186193	uc011men.2
SAPCD2P1			7q11.21	ENSG00000213644	
SAPCD2P2			7p11.2	ENSG00000235368	
SAPCD2P3			7q11.21	ENSG00000232491	
SAPCD2P4			7q11.21	ENSG00000234312	
SAR1A	SARA1	SAR1, Sara	10q22.1	ENSG00000079332	uc010qji.2
SAR1AP1	SARAP, SAR1P1	hsSARA-p, SARAP1, dJ88J8.3	6p21		
SAR1AP2	SAR1P2	Em:AC026226.2, SARA1P	10q26.2		
SAR1AP3	SAR1P3		4q27		
SAR1AP4			Xq13.3	ENSG00000233063	
SAR1B	SARA2		5q31.1	ENSG00000152700	uc003kzr.3
SARAF	TMEM66	MGC8721	8p12	ENSG00000133872	uc003xhs.4
SARDH	DMGDHL1	SDH	9q33-q34	ENSG00000123453	uc004cep.4
SARM1		SARM, SAMD2, KIAA0524	17q11	ENSG00000004139	uc032ezg.1
SARNP		THO1, Hcc-1, CIP29	12q13.2		
SARS		SERS	1p13.3	ENSG00000031698	uc001dwu.2
SARS2	SARSM	FLJ20450, mtSerRS, SerRSmt, SARS, SERS, SYS	19q13.2		uc002oka.2
SART1		Ara1, Snu66, SNRNP110	11q13.1	ENSG00000175467	uc001ogl.3
SART3		KIAA0156, RP11-13G14, TIP110, p110	12q24.11		uc001tmz.1
SASH1		KIAA0790, dJ323M4.1, SH3D6A	6q24.3	ENSG00000111961	uc003qme.1
SASH3	CXorf9	SLY, 753P9, SH3D6C, HACS2	Xq26	ENSG00000122122	uc004euu.3
SASS6		DKFZp761A078, SAS-6, FLJ22097, SAS6	1p21.3	ENSG00000156876	uc001dsu.3
SAT1	SAT	SSAT	Xp22.1	ENSG00000130066	uc004dau.4
SAT2		SSAT2	17p13.2	ENSG00000141504	uc002gic.2
SATB1			3p24.3	ENSG00000182568	uc003cbj.3
SATB1-AS1			3p24.3	ENSG00000228956	
SATB2		KIAA1034, FLJ21474	2q33.1	ENSG00000119042	uc002uva.2
SATB2-AS1			2q33.1	ENSG00000225953	uc002uvd.2
SATL1			Xq21	ENSG00000184788	uc004een.3
SAV1		WW45, WWP4, salvador	14q13-q23	ENSG00000151748	uc001wyh.2
SAX1		SPAX1	12p13		
SAXO1	C9orf138, FAM154A	MGC35182	9p22.1	ENSG00000155875	uc003zni.3
SAXO2	FAM154B	DKFZp666G057	15q25.2		uc002bgv.3
SAYSD1	C6orf64	FLJ11101	6p21.1	ENSG00000112167	uc003ook.1
SBDS		CGI-97, FLJ10917, SDS, SWDS	7q11.22	ENSG00000126524	uc003tvm.1
SBDSP1	SBDSP		7q11.23	ENSG00000225648	uc003twh.4
SBF1		MTMR5, DENND7A	22q13.33	ENSG00000100241	uc003blh.4
SBF1P1			8q12.1		uc011ldz.2
SBF2	CMT4B2	KIAA1766, MTMR13, DENND7B	11p15.3	ENSG00000133812	uc001mib.2
SBF2-AS1			11p15.4	ENSG00000246273	uc001mhz.1
SBK1		Sbk	16p11.2		uc002dpd.3
SBK2		SGK069	19q13.42	ENSG00000187550	uc032ifw.1
SBK3		SgK110	19q13.42	ENSG00000231274	
SBNO1		MOP3, FLJ10701, FLJ10833, Sno	12q24.31		uc010tap.2
SBNO2	KIAA0963	FLJ00173, Stno, Sno	19p13.3		uc002lrk.4
SBSN		UNQ698, HLAR698	19q13.13		uc002oad.2
SBSPON	C8orf84	RPESP	8q21.11	ENSG00000164764	uc003xzf.3
SC4MOP		DESP4P1	Xp21.1		
SC5D	SC5DL		11q23.3	ENSG00000109929	uc001pxu.3
SCA9			reserved		
SCA18		SMNA	7q22-q32		
SCA20			11q12		
SCA25			2p21-p15		
SCA26			19p13.3		
SCA30			4q34.3-q35.1		
SCA32			7q32-q33		
SCA37			1p32		
SCAANT1		ATXN7-AS1	3p14.1		
SCAF1		SR-A1, FLJ00034	19q13.3-q13.4	ENSG00000126461	uc002poq.3
SCAF4	SFRS15	KIAA1172, DKFZp434E098, SRA4	21q22.1	ENSG00000156304	uc002ypd.2
SCAF8	RBM16	KIAA1116	6q25.1-q25.3	ENSG00000213079	uc011efj.3
SCAF11	SFRS2IP, SRSF2IP	SIP1, SRRP129, CASP11	12q13.11	ENSG00000139218	uc001rox.3
SCAI	C9orf126	FLJ36664, NET40	9q34.11	ENSG00000173611	uc004bpd.3
SCAMP1		SCAMP37	5q14.1	ENSG00000085365	uc032uzx.1
SCAMP1-AS1			5q14.1	ENSG00000245556	
SCAMP2			15q23-q25	ENSG00000140497	uc002azb.1
SCAMP3	C1orf3		1q21	ENSG00000116521	uc001fjs.3
SCAMP4		FLJ33847	19p13.3	ENSG00000227500	uc002luj.4
SCAMP5		MGC24969	15q24.2	ENSG00000198794	uc002azk.2
SCAND1		SDP1, RAZ1	20q11.1-q11.23	ENSG00000171222	uc002xen.2
SCAND2P	SCAND2		15q25.2	ENSG00000176700	uc002bks.3
SCAND3P1			13q13.3	ENSG00000232795	
SCAP		KIAA0199	3p21.31	ENSG00000114650	uc003crh.1
SCAPER	ZNF291	Zfp291	15q24.3	ENSG00000140386	uc002bby.3
SCAR2	CLA1		9q34.3		
SCAR3			6p23-p21		
SCAR6		CLA4, CLA3	20q11-q13		
SCARA3		CSR1, CSR, MSLR1, APC7, MSRL1	8p21	ENSG00000168077	uc003xga.1
SCARA5		FLJ23907, MGC45780, NET33	8p21.1	ENSG00000168079	uc003xgj.3
SCARB1	CD36L1	SRB1, CLA-1, CLA1, SR-BI	12q24.32	ENSG00000073060	uc001ugm.4
SCARB2	CD36L2	HLGP85, LIMPII, SR-BII, LIMP-2	4q21.1	ENSG00000138760	uc003hju.2
SCARF1		SREC, KIAA0149	17p13.3	ENSG00000074660	uc002fsz.2
SCARF2		SREC-II, SREC2, HUMZD58C02	22q11.21	ENSG00000244486	uc032qgx.1
SCARNA1		ACA35	1p35.3	ENSG00000252947	uc001boy.1
SCARNA2		mgU2-25/61, HBII-382	1q13.1	ENSG00000278249	uc001dwo.1
SCARNA3		HBI-100	1q25.1	ENSG00000252906	uc001gkx.1
SCARNA4		ACA26	1q22	ENSG00000280466	uc001fmn.1
SCARNA5		U87	2q37.1	ENSG00000252010	uc002vue.1
SCARNA6		U88	2q37.1	ENSG00000251791	uc002vuf.1
SCARNA7		U90	3q25.22	ENSG00000238741	uc003fdo.3
SCARNA8		U92	9p22.1	ENSG00000251733	uc003znn.1
SCARNA9		mgU2-19/30, Z32	11q21	ENSG00000254911	uc001pdv.3
SCARNA9L			Xp22.12		uc010nfp.3
SCARNA10		U85	12p13.31	ENSG00000239002	uc009zeo.1
SCARNA11		ACA57	12p13.31	ENSG00000251898	uc001qpr.1
SCARNA12		U89	12p13.31	ENSG00000238795	uc001qsg.3
SCARNA13		U93	14q32.12	ENSG00000252481	
SCARNA14		U100	15q22.31	ENSG00000252712	uc010bhp.1
SCARNA15		ACA45	15q25.2	ENSG00000252690	uc002bjc.3
SCARNA16		ACA47	17q25.2	ENSG00000275143	uc021qdy.1
SCARNA17		mgU12-22/U4-8, U91	18q21.1	ENSG00000251992	uc002ldy.1
SCARNA18		U109, SCARNA18A	5q14.2	ENSG00000238835	uc003khz.3
SCARNA18B			1q31.2		
SCARNA20		ACA66	17q23.2	ENSG00000252577	uc002iyp.1
SCARNA21		ACA68, SCARNA21A	17p13.1	ENSG00000252835	uc002gji.1
SCARNA21B			1p36.21		
SCARNA22		ACA11	4p16.3	ENSG00000249784	uc003gej.3
SCARNA23		ACA12	Xp22.11	ENSG00000251869	uc004dbo.1
SCARNA26A			1q22		
SCARNA26B			1q22		
SCARNA27			6p24.3		uc010jod.1
SCARNA28		ZL1	7q22.1		
SCASI	SCA24	SCAR4	1p36		
SCAX2			X		
SCAX3			X		
SCAX4			X		
SCCPDH		CGI-49, NET11	1q44	ENSG00000143653	uc001ibr.3
SCD	SCDOS	FADS5	10q23-q24	ENSG00000099194	uc001kqy.3
SCD5	SCD4	ACOD4, FLJ21032, FADS4, HSCD5	4q21.3	ENSG00000145284	uc003hna.2
SCDP1	SCDP		17p11.2	ENSG00000226549	
SCEL		FLJ21667, MGC22531	13q22	ENSG00000136155	uc001vki.3
SCEL-AS1			13q22.3	ENSG00000224347	
SCFD1	C14orf163	RA410, KIAA0917, STXBP1L2, SLY1	14q12	ENSG00000092108	uc001wqm.2
SCFD2		STXBP1L1, FLJ39514	4q12	ENSG00000184178	uc003gzu.3
SCG2		CHGC, SgII, SN	2q35-q36	ENSG00000171951	uc002vnm.3
SCG3		SgIII, FLJ90833	15q21.2	ENSG00000104112	uc002abh.3
SCG5	SGNE1	7B2, SgV	15q13-q14	ENSG00000166922	uc001zha.2
SCGB1A1	UGB	CC10, CCSP, CC16	11q12.3	ENSG00000149021	uc001ntj.3
SCGB1B1P		Abpa1p	19q13.1		
SCGB1B2P		SCGB4A1P	19q13.11	ENSG00000268751	uc010xry.2
SCGB1B3P	SCGB1B3	SCGB4A4	19q13.11		
SCGB1C1		RYD5	11p15.5	ENSG00000188076	uc001loa.1
SCGB1C2			17p13.3	ENSG00000268320	
SCGB1D1		LPHA, LIPA, MGC71958	11q13	ENSG00000168515	uc001nsz.1
SCGB1D2		LPHB, LIPB	11q13	ENSG00000124935	uc001ntb.3
SCGB1D4		IIS	11q12.3	ENSG00000197745	uc001ntd.1
SCGB1D5P	SCGB1D1P1		4q32.3	ENSG00000248287	
SCGB2A1	MGB2	UGB3, LPHC, MGC71973	11q13	ENSG00000124939	uc001nta.2
SCGB2A2	MGB1	UGB2, MGC71974	11q13	ENSG00000110484	uc001ntc.4
SCGB2B1P		Abpbg1p	19q13.11		
SCGB2B2	SCGBL	SCGB4A2	19q13.12	ENSG00000205209	uc002nvn.3
SCGB2B3P		C2B, SCGB4A3P	19q13.11	ENSG00000269811	uc021usf.1
SCGB3A1		UGRP2, HIN-1, HIN1, LU105, PnSP-2	5q35.3	ENSG00000161055	uc003mly.3
SCGB3A2		UGRP1, LU103, PNSP1	5q32	ENSG00000164265	uc003lot.2
SCGN		SECRET, DJ501N12.8, SEGN, CALBL	6p22.3-p22.1	ENSG00000079689	uc003nfb.3
SCHIP1		SCHIP-1	3q25.32-q25.33	ENSG00000151967	
SCHLAP1	LINC00913	SChLAP1, PCAT11	2q31.3		
SCIMP	C17orf87	DTFT5783, UNQ5783, FLJ32580, MGC163426, MGC163428	17p13.2	ENSG00000161929	uc002gbh.3
SCIN		KIAA1905	7p21.3	ENSG00000006747	uc003ssn.4
SCKL3			14q23		
SCLT1		hCAP-1A, FLJ30655	4q28.2	ENSG00000151466	uc003igp.2
SCLY		SCL	2q37.3	ENSG00000132330	uc010fyv.4
SCMH1		Scml3	1p34	ENSG00000010803	uc001cgs.3
SCML1			Xp22	ENSG00000047634	uc004cyb.4
SCML2			Xp22	ENSG00000102098	uc004cyl.2
SCML2P1			18p11.31	ENSG00000264127	
SCML2P2			16p12.1		
SCML4		dJ47M23.1	6q21	ENSG00000146285	uc010kdf.4
SCN1A	SCN1, FEB3	Nav1.1, GEFSP2, HBSCI, NAC1, SMEI	2q24.3	ENSG00000144285	uc032oik.1
SCN1B			19q13.12	ENSG00000105711	uc002nxo.2
SCN2A	SCN2A1, SCN2A2	Nav1.2, HBSCII, HBSCI	2q24.3	ENSG00000136531	uc002ude.3
SCN2B			11q23.3	ENSG00000149575	uc001psf.2
SCN3A		Nav1.3	2q24	ENSG00000153253	uc002ucx.3
SCN3B		HSA243396	11q24.1	ENSG00000166257	uc001pzb.1
SCN4A	HYKPP	Nav1.4, HYPP, SkM1	17q23.3		uc002jds.1
SCN4B		LQT10	11q23.3	ENSG00000177098	uc001pse.3
SCN5A	CMD1E	Nav1.5, LQT3, HB1, HBBD, PFHB1, IVF, HB2, HH1, SSS1, CDCD2, CMPD2, ICCD	3p21	ENSG00000183873	uc021wvi.2
SCN7A	SCN6A	Nav2.1, Nav2.2, NaG	2q21-q23	ENSG00000136546	uc002udu.2
SCN8A	MED	Nav1.6, NaCh6, PN4, CerIII	12q13.1		uc001ryw.4
SCN9A		Nav1.7, PN1, NE-NA, NENA, ETHA	2q24	ENSG00000169432	uc010fpl.3
SCN10A		Nav1.8, hPN3, SNS, PN3	3p22.2	ENSG00000185313	uc003ciq.3
SCN11A	SCN12A	Nav1.9, NaN, SNS-2	3p22.2	ENSG00000168356	uc032rkb.1
SCNM1		MGC3180	1q21.3	ENSG00000163156	uc001ewz.3
SCNN1A	SCNN1	ENaCalpha	12p13	ENSG00000111319	uc001qnw.3
SCNN1B		ENaCbeta	16p12.2-p12.1	ENSG00000168447	uc002dln.3
SCNN1D		ENaCdelta, dNaCh	1p36.3-p36.2	ENSG00000162572	uc001adt.1
SCNN1G		ENaCgamma, SCNEG	16p12	ENSG00000166828	uc002dlm.1
SCO1	SCOD1		17p13.1	ENSG00000133028	uc002gmr.4
SCO2	MYP6	SCO1L	22q13.33	ENSG00000130489	uc003bma.3
SCOC		HRIHFB2072, SCOCO, UNC-69	4q28.3	ENSG00000153130	uc011che.1
SCOC-AS1			4q31.1	ENSG00000196951	
SCOCP1			14q23.1	ENSG00000258896	
SCP2			1p32	ENSG00000116171	uc001cur.2
SCP2D1	C20orf79	dJ1068E13.2, HSD22	20p11.23	ENSG00000132631	uc002wrk.3
SCPEP1		RISC	17q22	ENSG00000121064	uc002iuv.4
SCRG1		SCRG-1	4q34.1		uc003ite.3
SCRIB		KIAA0147, SCRB1, Vartul	8q24.3	ENSG00000180900	uc003yzo.1
SCRN1		KIAA0193	7p14.3	ENSG00000136193	uc011kaa.2
SCRN2			17q21		uc002imd.3
SCRN3		FLJ23142	2q31	ENSG00000144306	uc002uiq.3
SCRT1		DKFZp547F072, ZNF898	8q24.3	ENSG00000261678	uc033ccm.1
SCRT2		ZNF898B	20p13	ENSG00000215397	uc002wec.3
SCT			11p15.5	ENSG00000070031	uc001lqo.1
SCTR			2q14.1	ENSG00000080293	uc002tma.3
SCUBE1			22q13	ENSG00000159307	uc003bdt.2
SCUBE2		Cegf1, Cegb1, FLJ16792	11p15.4	ENSG00000175356	uc001mhi.2
SCUBE3	CEGF3	FLJ34743	6p21.3		uc003okf.1
SCX	SCXA, SCXB	bHLHa48, bHLHa41	8q24.3	ENSG00000260428	
SCYL1	NTKL	HT019, P105, GKLP, NKTL, TAPK, TRAP, TEIF, MGC78454	11q11-q12	ENSG00000142186	uc001oea.1
SCYL2		KIAA1360, CVAK104	12q23.1	ENSG00000136021	uc001thn.3
SCYL3		PACE-1, PACE1	1q24.2	ENSG00000000457	uc001ggs.4
SCZD1			5q11.2-q13.3		
SCZD2			11q14-q21		
SCZD3			6pter-p22		
SCZD4			22q11-q13		
SCZD5			6q13-q26		
SCZD6			8p21		
SCZD7			13q32		
SCZD8			18p		
SCZD10			15q15		
SDAD1		FLJ10498	4q21.21	ENSG00000198301	uc003hje.5
SDAD1P1			8p21.2	ENSG00000228451	
SDAD1P2			20p12.2	ENSG00000230750	
SDAD1P3			3p22.3	ENSG00000227707	
SDAD1P4			13q12.12	ENSG00000236803	
SDC1	SDC	CD138, syndecan, SYND1	2p24.1	ENSG00000115884	uc002rdo.1
SDC2	HSPG, HSPG1	fibroglycan, SYND2, CD362	8q22-q23	ENSG00000169439	uc003yhv.1
SDC3		N-syndecan, SYND3	1p35.2	ENSG00000162512	uc001bse.2
SDC4		SYND4, amphiglycan, ryudocan	20q12	ENSG00000124145	uc002xnu.3
SDC4P			22q12.2	ENSG00000214161	uc003aic.1
SDCBP		SYCL, MDA-9	8q12.1	ENSG00000137575	uc003xtq.3
SDCBP2		ST-2, SITAC18	20p13	ENSG00000125775	uc021vzn.1
SDCBP2-AS1			20p13	ENSG00000234684	uc002wew.3
SDCBP2P1			6q13	ENSG00000223389	
SDCBPP1			10p15.1	ENSG00000226705	
SDCBPP2			8q13.3	ENSG00000247570	
SDCBPP3			Xp11.4	ENSG00000232801	
SDCCAG3		NY-CO-3	9q34.3	ENSG00000165689	uc004chi.3
SDCCAG3P1	SDCCAG3L		18q21.32		
SDCCAG3P2			1q25.1	ENSG00000181101	
SDCCAG8		NY-CO-8, CCCAP, SLSN7, NPHP10, BBS16	1q43	ENSG00000054282	uc001hzw.3
SDE2	C1orf55	FLJ35382	1q42.12	ENSG00000143751	uc001hpu.4
SDF2			17q11.2	ENSG00000132581	uc002hbw.3
SDF2L1		AP000553.C22.4, OTTHUMT00000075032	22q11.21	ENSG00000128228	uc002zvf.3
SDF4		Cab45	1p36.33	ENSG00000078808	uc001adh.4
SDHA	SDH2	FP, SDHF	5p15	ENSG00000073578	uc003jao.4
SDHAF1		LYRM8	19q13.12	ENSG00000205138	uc002ocp.3
SDHAF2	PGL2, C11orf79	FLJ20487, SDH5	11q12.2	ENSG00000167985	uc001nrt.3
SDHAF3	ACN9	DC11, Sdh7	7q22.1	ENSG00000196636	uc003uoo.4
SDHAF4	C6orf57	Sdh8	6q12	ENSG00000154079	uc003pfq.1
SDHAP1	SDHAL1, SDHALP1		3q29	ENSG00000185485	uc003fvy.3
SDHAP2	SDHAL2, SDHALP2		3q29	ENSG00000215837	uc003fuw.5
SDHAP3	SDHAL, SDHACL		5p15.33	ENSG00000185986	uc011cme.2
SDHB	SDH1, SDH		1p36.1-p35	ENSG00000117118	uc001bae.4
SDHC	PGL3	CYB560	1q23.3	ENSG00000143252	uc001gag.3
SDHCP1			18q22.1		
SDHCP2			10q23.32	ENSG00000214549	
SDHCP3			2p23.3	ENSG00000234946	
SDHCP4			11p15.1	ENSG00000255035	
SDHD	PGL, PGL1		11q23		uc001pmz.4
SDHDP1			18p11.21	ENSG00000267162	
SDHDP2			7q32.1	ENSG00000227073	
SDHDP3			3q26.3		
SDHDP4			3p21.3		
SDHDP5			2q32.1		
SDHDP6			1p36.1	ENSG00000224183	
SDHDP7			1p36.1		
SDIM1			6q27		
SDK1		FLJ31425	7p22.3	ENSG00000146555	uc003smx.3
SDK2		FLJ10832, KIAA1514	17q21.31	ENSG00000069188	uc010dfm.3
SDPR		SDR, PS-p68, cavin-2, CAVIN2	2q32-q33	ENSG00000168497	uc002utb.3
SDR9C7		SDR-O, RDHS	12q13.3	ENSG00000170426	uc010sqw.2
SDR16C5		RDHE2, RDH-E2	8q12.1	ENSG00000170786	uc003xsy.1
SDR16C6P	SDR16C6		8q12.1	ENSG00000253542	uc033bma.1
SDR39U1	C14orf124	HCDI	14q12	ENSG00000100445	uc001wpm.3
SDR42E1		HSPC105	16q23.3	ENSG00000184860	uc002fgu.3
SDR42E1P1			9p13.1	ENSG00000273994	
SDR42E1P2			9p11.1	ENSG00000277213	
SDR42E1P3			9q13	ENSG00000234276	
SDR42E1P4			9q21.11	ENSG00000273849	
SDR42E1P5			2q12.1	ENSG00000236785	
SDR42E2			16p12.1	ENSG00000183921	
SDS		SDH	12q24.13	ENSG00000135094	uc001tvg.3
SDSL		SDS-RS1, cSDH	12q24.13	ENSG00000139410	uc001tvi.3
SEA			11q13		
SEBOX		OG9, OG9X	17q11.2	ENSG00000274529	uc010wai.1
SEC1P			19q13.33	ENSG00000232871	uc010xzv.2
SEC11A	SEC11L1	SPC18, sid2895, SPCS4A	15q25.2		uc031qtg.1
SEC11B	SEC11L2	SPCS4B	8q11.23	ENSG00000226098	
SEC11C	SEC11L3	SPC21, SPCS4C	18q21.32	ENSG00000166562	uc002lht.3
SEC13	D3S1231E, SEC13L1	SEC13R, npp-20	3p25-p24	ENSG00000157020	uc003bvo.4
SEC13P1			3p22.3	ENSG00000223899	
SEC14L1	SEC14L	PRELID4A	17q25.2	ENSG00000129657	uc002jto.3
SEC14L1P1			11p11.2	ENSG00000213693	uc010rfk.4
SEC14L2	C22orf6	TAP, SPF, KIAA1186, KIAA1658, TAP1	22q12.2	ENSG00000100003	uc032qlk.1
SEC14L3		TAP2	22q12.2	ENSG00000100012	uc003ahy.3
SEC14L4		TAP3, dJ130H16.5	22q12.1	ENSG00000133488	uc003aid.3
SEC14L5		KIAA0420, PRELID4B	16p13.3	ENSG00000103184	uc002cye.2
SEC14L6			22q12.2	ENSG00000214491	uc021wnu.1
SEC16A	KIAA0310	p250, Sec16L	9q34.3	ENSG00000148396	uc004chx.3
